iter	Passed	Remaining
662	3780	1921
663	3783	1914
664	3786	1907
665	3790	1900
666	3793	1894
667	3796	1886
668	3799	1879
669	3802	1872
670	3806	1866
671	3810	1860
672	3814	1853
673	3817	1846
674	3821	1839
675	3825	1833
676	3828	1826
677	3831	1819
678	3835	1813
679	3838	1806
680	3842	1800
681	3846	1793
682	3850	1787
683	3854	1780
684	3857	1774
685	3861	1767
686	3864	1760
687	3869	1754
688	3874	1748
689	3877	1742
690	3881	1735
691	3891	1732
692	3905	1730
693	3909	1723
694	3914	1717
695	3919	1712
696	3923	1705
697	3926	1699
698	3931	1692
699	3935	1686
700	3938	1679
701	3943	1674
702	3947	1667
703	3951	1661
704	3955	1655
705	3958	1648
706	3963	1642
707	3970	1637
708	3979	1633
709	3987	1628
710	3992	1622
711	4002	1618
712	4007	1612
713	4011	1606
714	4016	1600
715	4019	1594
716	4025	1588
717	4031	1583
718	4035	1577
719	4039	1570
720	4043	1564
721	4047	1558
722	4051	1552
723	4057	1546
724	4063	1541
725	4080	1539
726	4090	1536
727	4095	1530
728	4100	1524
729	4108	1519
730	4116	1514
731	4120	1508
732	4126	1503
733	4132	1497
734	4139	1492
735	4145	1486
736	4155	1482
737	4171	1481
738	4181	1476
739	4202	1476
740	4210	1471
741	4218	1466
742	4231	1463
743	4237	1457
744	4241	1451
745	4246	1445
746	4249	1439
747	4254	1433
748	4258	1427
749	4263	1421
750	4267	1414
751	4272	1409
752	4280	1404
753	4284	1397
754	4289	1391
755	4294	1386
756	4299	1380
757	4303	1374
758	4308	1368
759	4311	1361
760	4315	1355
761	4318	1348
762	4322	1342
763	4325	1336
764	4329	1330
765	4333	1323
766	4337	1317
767	4341	1311
768	4344	1304
769	4348	1299
770	4352	1292
771	4357	1286
772	4364	1281
773	4368	1275
774	4371	1269
775	4375	1263
776	4379	1256
777	4384	1251
778	4387	1244
779	4390	1238
780	4393	1232
781	4397	1225
782	4400	1219
783	4403	1213
784	4406	1206
785	4409	1200
786	4412	1194
787	4415	1188
788	4418	1181
789	4422	1175
790	4425	1169
791	4428	1163
792	4433	1157
793	4436	1151
794	4441	1145
795	4444	1138
796	4448	1133
797	4453	1127
798	4457	1121
799	4460	1115
800	4464	1109
801	4467	1103
802	4470	1096
803	4474	1090
804	4486	1086
805	4491	1081
806	4494	1074
807	4498	1068
808	4501	1062
809	4504	1056
810	4508	1050
811	4511	1044
812	4516	1038
813	4518	1032
814	4521	1026
815	4525	1020
816	4529	1014
817	4532	1008
818	4535	1002
819	4540	996
820	4543	990
821	4546	984
822	4550	978
823	4553	972
824	4556	966
825	4559	960
826	4563	954
827	4567	948
828	4570	942
829	4574	936
830	4577	931
831	4581	925
832	4584	919
833	4587	913
834	4590	907
835	4593	901
836	4597	895
837	4601	889
838	4604	883
839	4607	877
840	4612	871
841	4615	866
842	4619	860
843	4622	854
844	4626	848
845	4629	842
846	4633	836
